code;class;sex;prevalence
Q12;ICD_codes;both;0.0028305701577031944
N77;ICD_codes;both;0.0028305701577031944
H05;ICD_codes;both;0.0028305701577031944
R93;ICD_codes;both;0.0028305701577031944
D63;ICD_codes;both;0.0028305701577031944
B09;ICD_codes;both;0.0028305701577031944
N88;ICD_codes;both;0.0028305701577031944
C54;ICD_codes;both;0.0028305701577031944
F05;ICD_codes;both;0.0028305701577031944
Z52;ICD_codes;both;0.0028305701577031944
H71;ICD_codes;both;0.0028305701577031944
M96;ICD_codes;both;0.0028305701577031944
M92;ICD_codes;both;0.0028305701577031944
941;Phecodes;both;0.0028351559335763467
170;Phecodes;both;0.0028351559335763467
568;Phecodes;both;0.0028351559335763467
182;Phecodes;both;0.0028351559335763467
255;Phecodes;both;0.0028351559335763467
656;Phecodes;both;0.0028351559335763467
I30;ICD_codes;female;0.002902757619738752
H34;ICD_codes;female;0.002902757619738752
A04;ICD_codes;female;0.002902757619738752
C67;ICD_codes;female;0.002902757619738752
E13;ICD_codes;female;0.002902757619738752
C64;ICD_codes;female;0.002902757619738752
I11;ICD_codes;female;0.002902757619738752
S29;ICD_codes;female;0.002902757619738752
M92;ICD_codes;female;0.002902757619738752
D32;ICD_codes;female;0.002902757619738752
J93;ICD_codes;female;0.002902757619738752
D11;ICD_codes;female;0.002902757619738752
T16;ICD_codes;female;0.002902757619738752
I72;ICD_codes;female;0.002902757619738752
X58;ICD_codes;female;0.002902757619738752
J09;ICD_codes;female;0.002902757619738752
Z70;ICD_codes;female;0.002902757619738752
S86;ICD_codes;female;0.002902757619738752
M32;ICD_codes;female;0.002902757619738752
B85;ICD_codes;female;0.002902757619738752
D09;ICD_codes;female;0.002902757619738752
Z81;ICD_codes;female;0.002902757619738752
T80;ICD_codes;female;0.002902757619738752
170;Phecodes;female;0.002905920813657828
173;Phecodes;female;0.002905920813657828
753;Phecodes;female;0.002905920813657828
229;Phecodes;female;0.002905920813657828
344;Phecodes;female;0.002905920813657828
749;Phecodes;female;0.002905920813657828
506;Phecodes;female;0.002905920813657828
376;Phecodes;female;0.002905920813657828
212;Phecodes;female;0.002905920813657828
K09;ICD_codes;both;0.00303275374039628
I65;ICD_codes;both;0.00303275374039628
D09;ICD_codes;both;0.00303275374039628
A49;ICD_codes;both;0.00303275374039628
I27;ICD_codes;both;0.00303275374039628
B26;ICD_codes;both;0.00303275374039628
S66;ICD_codes;both;0.00303275374039628
J95;ICD_codes;both;0.00303275374039628
Q89;ICD_codes;both;0.00303275374039628
O91;ICD_codes;both;0.00303275374039628
L92;ICD_codes;both;0.00303275374039628
U09;ICD_codes;both;0.00303275374039628
246;Phecodes;both;0.003037667071688943
212;Phecodes;both;0.003037667071688943
580;Phecodes;both;0.003037667071688943
202;Phecodes;both;0.003037667071688943
297;Phecodes;both;0.003037667071688943
315;Phecodes;both;0.003037667071688943
is_vegetarian;Questionnaire;male;0.003167420814479638
R57;ICD_codes;male;0.0031963470319634705
Y84;ICD_codes;male;0.0031963470319634705
S89;ICD_codes;male;0.0031963470319634705
J36;ICD_codes;male;0.0031963470319634705
F29;ICD_codes;male;0.0031963470319634705
D04;ICD_codes;male;0.0031963470319634705
K06;ICD_codes;male;0.0031963470319634705
D63;ICD_codes;male;0.0031963470319634705
F99;ICD_codes;male;0.0031963470319634705
C80;ICD_codes;male;0.0031963470319634705
N99;ICD_codes;male;0.0031963470319634705
W99;ICD_codes;male;0.0031963470319634705
S73;ICD_codes;male;0.0031963470319634705
N63;ICD_codes;male;0.0031963470319634705
D51;ICD_codes;male;0.0031963470319634705
S03;ICD_codes;male;0.0031963470319634705
M96;ICD_codes;male;0.0031963470319634705
S33;ICD_codes;male;0.0031963470319634705
B80;ICD_codes;male;0.0031963470319634705
I15;ICD_codes;male;0.0031963470319634705
I61;ICD_codes;male;0.0031963470319634705
D48;ICD_codes;male;0.0031963470319634705
D09;ICD_codes;male;0.0031963470319634705
F90;ICD_codes;male;0.0031963470319634705
930;Phecodes;male;0.003203661327231121
212;Phecodes;male;0.003203661327231121
271;Phecodes;male;0.003203661327231121
447;Phecodes;male;0.003203661327231121
797;Phecodes;male;0.003203661327231121
M87;ICD_codes;both;0.003234937323089365
T82;ICD_codes;both;0.003234937323089365
Z81;ICD_codes;both;0.003234937323089365
R56;ICD_codes;both;0.003234937323089365
S29;ICD_codes;both;0.003234937323089365
N70;ICD_codes;both;0.003234937323089365
N99;ICD_codes;both;0.003234937323089365
K55;ICD_codes;both;0.003234937323089365
F19;ICD_codes;both;0.003234937323089365
H44;ICD_codes;both;0.003234937323089365
R36;ICD_codes;both;0.003234937323089365
T16;ICD_codes;both;0.003234937323089365
N35;ICD_codes;both;0.003234937323089365
818;Phecodes;both;0.0032401782098015392
344;Phecodes;both;0.0032401782098015392
854;Phecodes;both;0.0032401782098015392
642;Phecodes;both;0.0032401782098015392
U09;ICD_codes;female;0.003265602322206096
L92;ICD_codes;female;0.003265602322206096
Q61;ICD_codes;female;0.003265602322206096
Z93;ICD_codes;female;0.003265602322206096
H73;ICD_codes;female;0.003265602322206096
H74;ICD_codes;female;0.003265602322206096
K27;ICD_codes;female;0.003265602322206096
K66;ICD_codes;female;0.003265602322206096
N36;ICD_codes;female;0.003265602322206096
I88;ICD_codes;female;0.003265602322206096
Y65;ICD_codes;female;0.003265602322206096
I13;ICD_codes;female;0.003265602322206096
N99;ICD_codes;female;0.003265602322206096
S72;ICD_codes;female;0.003265602322206096
L59;ICD_codes;female;0.003265602322206096
E27;ICD_codes;female;0.003265602322206096
416;Phecodes;female;0.0032691609153650564
941;Phecodes;female;0.0032691609153650564
L04;ICD_codes;both;0.0034371209057824505
J36;ICD_codes;both;0.0034371209057824505
L64;ICD_codes;both;0.0034371209057824505
Z93;ICD_codes;both;0.0034371209057824505
L55;ICD_codes;both;0.0034371209057824505
E74;ICD_codes;both;0.0034371209057824505
F29;ICD_codes;both;0.0034371209057824505
F44;ICD_codes;both;0.0034371209057824505
A41;ICD_codes;both;0.0034371209057824505
L56;ICD_codes;both;0.0034371209057824505
I71;ICD_codes;both;0.0034371209057824505
F90;ICD_codes;both;0.0034371209057824505
753;Phecodes;both;0.003442689347914135
930;Phecodes;both;0.003442689347914135
676;Phecodes;both;0.003442689347914135
E16;ICD_codes;female;0.00362844702467344
D56;ICD_codes;female;0.00362844702467344
V65;ICD_codes;female;0.00362844702467344
H71;ICD_codes;female;0.00362844702467344
I36;ICD_codes;female;0.00362844702467344
B18;ICD_codes;female;0.00362844702467344
E07;ICD_codes;female;0.00362844702467344
Z95;ICD_codes;female;0.00362844702467344
B09;ICD_codes;female;0.00362844702467344
D28;ICD_codes;female;0.00362844702467344
F90;ICD_codes;female;0.00362844702467344
D30;ICD_codes;female;0.00362844702467344
F29;ICD_codes;female;0.00362844702467344
R56;ICD_codes;female;0.00362844702467344
A49;ICD_codes;female;0.00362844702467344
